figure_panel,monkey_id,area,session_id,condition,threshold,slope,sensitivity
Fig1G,Monkey_A,V4,Monkey_A_S01,pre,14.3922226502518,0.497326815456493,0.0694819712216241
Fig1G,Monkey_A,V4,Monkey_A_S02,pre,14.6061749520381,0.80740115990336,0.0684641943071116
Fig1G,Monkey_A,V4,Monkey_A_S03,pre,7.57032926603876,1.14116771518964,0.13209465068925
Fig1G,Monkey_A,V4,Monkey_A_S01,post,16.9159779468195,0.581842535201121,0.0591157072410358
Fig1G,Monkey_A,V4,Monkey_A_S02,post,17.9277216537526,0.309572453872399,0.0557795362575077
Fig1G,Monkey_A,V4,Monkey_A_S03,post,49.4728811766559,0.484928672946707,0.020213094047004
Fig1G,Monkey_C,MT,Monkey_C_S01,pre,33.9686508256351,1.46364121439215,0.0294389083962478
Fig1G,Monkey_C,MT,Monkey_C_S02,pre,83.1760680315187,0.665676896471731,0.0120226890218117
Fig1G,Monkey_C,MT,Monkey_C_S03,pre,16.3846089055224,4.59496534794141,0.0610328879844641
Fig1G,Monkey_C,MT,Monkey_C_S01,post,61.9794741861486,2.0443050190549,0.0161343737282541
Fig1G,Monkey_C,MT,Monkey_C_S02,post,328.222182981718,0.82835564172946,0.0030467166811077
Fig1G,Monkey_C,MT,Monkey_C_S03,post,75.661701226626,2.12400149110462,0.0132167263461966
Fig1G,Monkey_L,V4,Monkey_L_S01,pre,11.9717946571936,1.99963452743617,0.0835296652368757
Fig1G,Monkey_L,V4,Monkey_L_S02,pre,12.3855550290436,2.848115588214,0.0807392157763658
Fig1G,Monkey_L,V4,Monkey_L_S03,pre,8.15738606152774,0.62241616868469,0.122588289000596
Fig1G,Monkey_L,V4,Monkey_L_S01,post,13.9740979951821,0.337713805543076,0.0715609694697125
Fig1G,Monkey_L,V4,Monkey_L_S02,post,30.2730561049949,0.997268124651563,0.0330326742213187
Fig1G,Monkey_L,V4,Monkey_L_S03,post,34.1652095490082,1.12454242285226,0.02926954095117
Fig1G,Monkey_Y,MT,Monkey_Y_S01,pre,31.9433736792202,1.44860322683787,0.0313053971706977
Fig1G,Monkey_Y,MT,Monkey_Y_S02,pre,28.0181089209728,0.741806005692741,0.0356912025297845
Fig1G,Monkey_Y,MT,Monkey_Y_S03,pre,33.9697012628955,1.15520086726498,0.0294379980636533
Fig1G,Monkey_Y,MT,Monkey_Y_S04,pre,34.2624301069788,1.27367242069818,0.0291864878491591
Fig1G,Monkey_Y,MT,Monkey_Y_S05,pre,23.2611037269346,2.35948881697096,0.0429902214331333
Fig1G,Monkey_Y,MT,Monkey_Y_S01,post,83.0093112209819,1.80925666830896,0.0120468413156431
Fig1G,Monkey_Y,MT,Monkey_Y_S02,post,161.208566763717,1.56497787941859,0.0062031442873982
Fig1G,Monkey_Y,MT,Monkey_Y_S03,post,74.9101570452023,1.47960195245983,0.0133493245701859
Fig1G,Monkey_Y,MT,Monkey_Y_S04,post,44.1933590815372,1.12961275835697,0.0226278341538825
Fig1G,Monkey_Y,MT,Monkey_Y_S05,post,57.7565747649643,4.59353378434915,0.017314046133612
