source_set,figure_panel,frequency_band,aggregation_level,monkey_id,area,condition,reported_mean,reported_sem,computed_mean,computed_sem,rounded_mean_3dp,rounded_sem_3dp
Fig3_main_text,Fig3A,high_gamma,MT,,MT,pre,0.509,0.001,0.5093073851721404,0.001384921,0.509,0.001
Fig3_main_text,Fig3A,high_gamma,MT,,MT,post,0.499,0.002,0.4991598717222265,0.002078499,0.499,0.002
Fig3_main_text,Fig3A,high_gamma,V4,,V4,pre,0.532,0.006,0.5323597981678425,0.005986639,0.532,0.006
Fig3_main_text,Fig3A,high_gamma,V4,,V4,post,0.503,0.001,0.5027467762570481,0.001088197,0.503,0.001
Fig3_main_text,Fig3A,high_gamma,All,,MT+V4,pre,0.521,0.005,0.5208335916699915,0.00489967,0.521,0.005
Fig3_main_text,Fig3A,high_gamma,All,,MT+V4,post,0.501,0.001,0.5009533239896373,0.001160281,0.501,0.001
Fig3_main_text,Fig3B,low_gamma,MT,,MT,pre,0.517,0.009,0.516968099,0.009398159,0.517,0.009
Fig3_main_text,Fig3B,low_gamma,MT,,MT,post,0.518,0.011,0.5178332802135003,0.010653391,0.518,0.011
Fig3_main_text,Fig3B,low_gamma,V4,,V4,pre,0.535,0.019,0.5354623999982492,0.018796055,0.535,0.019
Fig3_main_text,Fig3B,low_gamma,V4,,V4,post,0.524,0.009,0.5238928251458554,0.009176225,0.524,0.009
Fig3_main_text,Fig3B,low_gamma,All,,MT+V4,pre,0.526,0.009,0.5262152496820436,0.00921977,0.526,0.009
Fig3_main_text,Fig3B,low_gamma,All,,MT+V4,post,0.521,0.006,0.5208630526796778,0.005845817,0.521,0.006
FigS1S3_caption,FigS1,high_gamma,monkey,Monkey_Y,MT,pre,0.511,0.007,0.511497137,0.006628239,0.511,0.007
FigS1S3_caption,FigS1,high_gamma,monkey,Monkey_Y,MT,post,0.502,0.006,0.5024462678044308,0.005951763,0.502,0.006
FigS1S3_caption,FigS1,high_gamma,monkey,Monkey_C,MT,pre,0.507,0.003,0.5071176335706596,0.002776348,0.507,0.003
FigS1S3_caption,FigS1,high_gamma,monkey,Monkey_C,MT,post,0.496,0.005,0.49587347564002215,0.005465485,0.496,0.005
FigS1S3_caption,FigS1,high_gamma,monkey,Monkey_L,V4,pre,0.523,0.014,0.5228940909797676,0.013870690869989183,0.523,0.014
FigS1S3_caption,FigS1,high_gamma,monkey,Monkey_L,V4,post,0.501,0.011,0.5010261860888443,0.010596358,0.501,0.011
FigS1S3_caption,FigS1,high_gamma,monkey,Monkey_A,V4,pre,0.542,0.019,0.5418255053559176,0.019028461,0.542,0.019
FigS1S3_caption,FigS1,high_gamma,monkey,Monkey_A,V4,post,0.504,0.004,0.504467366,0.003724806,0.504,0.004
FigS1S3_caption,FigS2,low_gamma,monkey,Monkey_Y,MT,pre,0.532,0.009,0.5318278935779198,0.008792246,0.532,0.009
FigS1S3_caption,FigS2,low_gamma,monkey,Monkey_Y,MT,post,0.535,0.016,0.5346777700511516,0.016026643165423203,0.535,0.016
FigS1S3_caption,FigS2,low_gamma,monkey,Monkey_C,MT,pre,0.502,0.003,0.5021083051537562,0.003464495,0.502,0.003
FigS1S3_caption,FigS2,low_gamma,monkey,Monkey_C,MT,post,0.501,0.012,0.50098879,0.012034165,0.501,0.012
FigS1S3_caption,FigS2,low_gamma,monkey,Monkey_L,V4,pre,0.506,0.015,0.5057432277990146,0.015073891493883683,0.506,0.015
FigS1S3_caption,FigS2,low_gamma,monkey,Monkey_L,V4,post,0.509,0.016,0.5093839400908879,0.015506396414359701,0.509,0.016
FigS1S3_caption,FigS2,low_gamma,monkey,Monkey_A,V4,pre,0.565,0.04,0.5651815721974838,0.040009823,0.565,0.04
FigS1S3_caption,FigS2,low_gamma,monkey,Monkey_A,V4,post,0.538,0.008,0.53840171,0.007999594,0.538,0.008
FigS1S3_caption,FigS3,alpha_beta,monkey,Monkey_Y,MT,pre,0.521,0.018,0.5211334302036538,0.018339604893145962,0.521,0.018
FigS1S3_caption,FigS3,alpha_beta,monkey,Monkey_Y,MT,post,0.493,0.011,0.4926550666145494,0.010509428796619431,0.493,0.011
FigS1S3_caption,FigS3,alpha_beta,monkey,Monkey_C,MT,pre,0.494,0.003,0.4942351786859634,0.003462021,0.494,0.003
FigS1S3_caption,FigS3,alpha_beta,monkey,Monkey_C,MT,post,0.492,0.008,0.49164417182294057,0.007504622,0.492,0.008
FigS1S3_caption,FigS3,alpha_beta,monkey,Monkey_L,V4,pre,0.506,0.025,0.5063090295105536,0.025192046896436057,0.506,0.025
FigS1S3_caption,FigS3,alpha_beta,monkey,Monkey_L,V4,post,0.491,0.021,0.4912157990473792,0.020738064523974472,0.491,0.021
FigS1S3_caption,FigS3,alpha_beta,monkey,Monkey_A,V4,pre,0.543,0.034,0.5431175763836715,0.03420141,0.543,0.034
FigS1S3_caption,FigS3,alpha_beta,monkey,Monkey_A,V4,post,0.532,0.015,0.5317873113405523,0.01466192,0.532,0.015
