figure_panel,frequency_band,area,time_ms,condition,mean_cp,sem_cp,source_monkeys,source_role
Fig3A,high_gamma,MT,-200.0,post,0.5000912688933002,0.0040131406528136,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-200.0,pre,0.5028401874226573,0.0054327510072939,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-180.0,post,0.4990854702194371,0.0040946845652894,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-180.0,pre,0.5037874075646418,0.0034192330791778,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-160.0,post,0.499180233505127,0.003899287263001,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-160.0,pre,0.5024527767526072,0.0027056493704638,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-140.0,post,0.4980837933900206,0.0031919373862762,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-140.0,pre,0.5013495468941918,0.0022492325987561,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-120.0,post,0.4984230551314691,0.0029585804890712,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-120.0,pre,0.5010846559754604,0.0017692608293122,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-100.0,post,0.4991913250391688,0.0038858141404312,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-100.0,pre,0.501242890043798,0.0023505690560724,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-80.0,post,0.5031729215945044,0.0027780081529286,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-80.0,pre,0.5019540226043271,0.0023246460271664,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-60.0,post,0.5055946562987773,0.0020647187656198,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-60.0,pre,0.5030052763576309,0.0020984677575731,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-40.0,post,0.5071432822439774,0.0039410540316727,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-40.0,pre,0.5034173934390823,0.0015231070319112,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-20.0,post,0.5074976005831789,0.0047388855421623,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,-20.0,pre,0.5039041014717369,0.0022638877306956,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,0.0,post,0.5064467452046014,0.0045873050463314,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,0.0,pre,0.5046045900432667,0.0029829734705154,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,20.0,post,0.5046250136339056,0.0049700910782195,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,20.0,pre,0.5062302846435512,0.0038342518743942,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,40.0,post,0.5020668205936429,0.005299071190914,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,40.0,pre,0.507144821067568,0.0039419556770605,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,60.0,post,0.50015921927414,0.005595077267928,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,60.0,pre,0.5063520885584517,0.0041147853740985,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,80.0,post,0.4986623042982765,0.0057352927612747,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,80.0,pre,0.5092918610485195,0.0044894896227034,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,100.0,post,0.4994058264598278,0.0045538687963307,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,100.0,pre,0.511909437657281,0.0038952889506436,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,120.0,post,0.5008339255005353,0.0037737292889179,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,120.0,pre,0.512582998161413,0.003302732388286,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,140.0,post,0.5011864016550427,0.0046676249580125,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,140.0,pre,0.511824351856846,0.0030080283084563,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,160.0,post,0.501226821835727,0.0054598538592768,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,160.0,pre,0.5118186189194714,0.0034755024966101,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,180.0,post,0.5003712875385071,0.0047138173402852,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,180.0,pre,0.511527036973673,0.0042042540183381,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,200.0,post,0.4993783775517144,0.0033902124647532,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,200.0,pre,0.509777535445652,0.0051072991584338,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,220.0,post,0.4989681686781436,0.0021070198542244,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,220.0,pre,0.5064701201413463,0.0045995785184643,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,240.0,post,0.4979791765947583,0.0014896252210611,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,240.0,pre,0.5058993061617111,0.0038487202306058,Monkey_Y;Monkey_C,area_timecourse_panel
