figure_panel,monkey_id,area,session_id,condition,axis,frequency_band,band_fmin_hz,band_fmax_hz,loading_energy,n_trials,n_features,n_label0,n_label1
Fig4B,Monkey_Y,MT,Monkey_Y_S01,pre,stimulus_discrimination_axis,low_gamma,30,70,0.178446278101189,104,2115,52,52
Fig4B,Monkey_Y,MT,Monkey_Y_S01,pre,stimulus_discrimination_axis,high_gamma,70,150,0.55858596019038,104,2115,52,52
Fig4C,Monkey_Y,MT,Monkey_Y_S01,pre,leading_null_dimension,low_gamma,30,70,0.573799161307515,104,2115,52,52
Fig4C,Monkey_Y,MT,Monkey_Y_S01,pre,leading_null_dimension,high_gamma,70,150,0.385148384889183,104,2115,52,52
Fig4B,Monkey_Y,MT,Monkey_Y_S01,post,stimulus_discrimination_axis,low_gamma,30,70,0.229823125025355,64,2115,32,32
Fig4B,Monkey_Y,MT,Monkey_Y_S01,post,stimulus_discrimination_axis,high_gamma,70,150,0.711075997749114,64,2115,32,32
Fig4C,Monkey_Y,MT,Monkey_Y_S01,post,leading_null_dimension,low_gamma,30,70,0.798027506724113,64,2115,32,32
Fig4C,Monkey_Y,MT,Monkey_Y_S01,post,leading_null_dimension,high_gamma,70,150,0.106279101871436,64,2115,32,32
Fig4B,Monkey_Y,MT,Monkey_Y_S02,pre,stimulus_discrimination_axis,low_gamma,30,70,0.143549606689093,104,2115,52,52
Fig4B,Monkey_Y,MT,Monkey_Y_S02,pre,stimulus_discrimination_axis,high_gamma,70,150,0.637022937478407,104,2115,52,52
Fig4C,Monkey_Y,MT,Monkey_Y_S02,pre,leading_null_dimension,low_gamma,30,70,0.84907574328565,104,2115,52,52
Fig4C,Monkey_Y,MT,Monkey_Y_S02,pre,leading_null_dimension,high_gamma,70,150,0.116621307989198,104,2115,52,52
Fig4B,Monkey_Y,MT,Monkey_Y_S02,post,stimulus_discrimination_axis,low_gamma,30,70,0.149927651448832,30,2115,15,15
Fig4B,Monkey_Y,MT,Monkey_Y_S02,post,stimulus_discrimination_axis,high_gamma,70,150,0.767104920157915,30,2115,15,15
Fig4C,Monkey_Y,MT,Monkey_Y_S02,post,leading_null_dimension,low_gamma,30,70,0.698854305316,30,2115,15,15
Fig4C,Monkey_Y,MT,Monkey_Y_S02,post,leading_null_dimension,high_gamma,70,150,0.161550021623136,30,2115,15,15
Fig4B,Monkey_Y,MT,Monkey_Y_S03,pre,stimulus_discrimination_axis,low_gamma,30,70,0.232628376731522,102,2115,51,51
Fig4B,Monkey_Y,MT,Monkey_Y_S03,pre,stimulus_discrimination_axis,high_gamma,70,150,0.677245232797103,102,2115,51,51
Fig4C,Monkey_Y,MT,Monkey_Y_S03,pre,leading_null_dimension,low_gamma,30,70,0.764459531990595,102,2115,51,51
Fig4C,Monkey_Y,MT,Monkey_Y_S03,pre,leading_null_dimension,high_gamma,70,150,0.0833673450480062,102,2115,51,51
Fig4B,Monkey_Y,MT,Monkey_Y_S03,post,stimulus_discrimination_axis,low_gamma,30,70,0.212553085898027,78,2115,39,39
Fig4B,Monkey_Y,MT,Monkey_Y_S03,post,stimulus_discrimination_axis,high_gamma,70,150,0.739984801725246,78,2115,39,39
Fig4C,Monkey_Y,MT,Monkey_Y_S03,post,leading_null_dimension,low_gamma,30,70,0.594672708093416,78,2115,39,39
Fig4C,Monkey_Y,MT,Monkey_Y_S03,post,leading_null_dimension,high_gamma,70,150,0.0800434941479505,78,2115,39,39
Fig4B,Monkey_Y,MT,Monkey_Y_S04,pre,stimulus_discrimination_axis,low_gamma,30,70,0.116387073750334,102,2115,51,51
Fig4B,Monkey_Y,MT,Monkey_Y_S04,pre,stimulus_discrimination_axis,high_gamma,70,150,0.750543704226812,102,2115,51,51
Fig4C,Monkey_Y,MT,Monkey_Y_S04,pre,leading_null_dimension,low_gamma,30,70,0.681332489933863,102,2115,51,51
Fig4C,Monkey_Y,MT,Monkey_Y_S04,pre,leading_null_dimension,high_gamma,70,150,0.27871938384102,102,2115,51,51
Fig4B,Monkey_Y,MT,Monkey_Y_S04,post,stimulus_discrimination_axis,low_gamma,30,70,0.18723785862573,98,2115,49,49
Fig4B,Monkey_Y,MT,Monkey_Y_S04,post,stimulus_discrimination_axis,high_gamma,70,150,0.767816583864498,98,2115,49,49
Fig4C,Monkey_Y,MT,Monkey_Y_S04,post,leading_null_dimension,low_gamma,30,70,0.77331719069486,98,2115,49,49
Fig4C,Monkey_Y,MT,Monkey_Y_S04,post,leading_null_dimension,high_gamma,70,150,0.180177089759633,98,2115,49,49
Fig4B,Monkey_C,MT,Monkey_C_S01,pre,stimulus_discrimination_axis,low_gamma,30,70,0.261534250265945,100,2115,50,50
Fig4B,Monkey_C,MT,Monkey_C_S01,pre,stimulus_discrimination_axis,high_gamma,70,150,0.570258260650351,100,2115,50,50
Fig4C,Monkey_C,MT,Monkey_C_S01,pre,leading_null_dimension,low_gamma,30,70,0.279058459123685,100,2115,50,50
Fig4C,Monkey_C,MT,Monkey_C_S01,pre,leading_null_dimension,high_gamma,70,150,0.144382161815098,100,2115,50,50
Fig4B,Monkey_C,MT,Monkey_C_S01,post,stimulus_discrimination_axis,low_gamma,30,70,0.246952856357928,88,2115,44,44
Fig4B,Monkey_C,MT,Monkey_C_S01,post,stimulus_discrimination_axis,high_gamma,70,150,0.668290465959288,88,2115,44,44
Fig4C,Monkey_C,MT,Monkey_C_S01,post,leading_null_dimension,low_gamma,30,70,0.297418023082311,88,2115,44,44
Fig4C,Monkey_C,MT,Monkey_C_S01,post,leading_null_dimension,high_gamma,70,150,0.555833179929857,88,2115,44,44
Fig4B,Monkey_C,MT,Monkey_C_S02,pre,stimulus_discrimination_axis,low_gamma,30,70,0.226340477385829,78,2115,39,39
Fig4B,Monkey_C,MT,Monkey_C_S02,pre,stimulus_discrimination_axis,high_gamma,70,150,0.676541498796003,78,2115,39,39
Fig4C,Monkey_C,MT,Monkey_C_S02,pre,leading_null_dimension,low_gamma,30,70,0.33805920913718,78,2115,39,39
Fig4C,Monkey_C,MT,Monkey_C_S02,pre,leading_null_dimension,high_gamma,70,150,0.532832139631275,78,2115,39,39
Fig4B,Monkey_C,MT,Monkey_C_S02,post,stimulus_discrimination_axis,low_gamma,30,70,0.200541671056538,58,2115,29,29
Fig4B,Monkey_C,MT,Monkey_C_S02,post,stimulus_discrimination_axis,high_gamma,70,150,0.698721025055988,58,2115,29,29
Fig4C,Monkey_C,MT,Monkey_C_S02,post,leading_null_dimension,low_gamma,30,70,0.271657859505304,58,2115,29,29
Fig4C,Monkey_C,MT,Monkey_C_S02,post,leading_null_dimension,high_gamma,70,150,0.624196753191992,58,2115,29,29
Fig4B,Monkey_C,MT,Monkey_C_S03,pre,stimulus_discrimination_axis,low_gamma,30,70,0.26273300834311,108,2115,54,54
Fig4B,Monkey_C,MT,Monkey_C_S03,pre,stimulus_discrimination_axis,high_gamma,70,150,0.543776686949583,108,2115,54,54
Fig4C,Monkey_C,MT,Monkey_C_S03,pre,leading_null_dimension,low_gamma,30,70,0.57253382079407,108,2115,54,54
Fig4C,Monkey_C,MT,Monkey_C_S03,pre,leading_null_dimension,high_gamma,70,150,0.193652819651694,108,2115,54,54
Fig4B,Monkey_C,MT,Monkey_C_S03,post,stimulus_discrimination_axis,low_gamma,30,70,0.230506377054099,86,2115,43,43
Fig4B,Monkey_C,MT,Monkey_C_S03,post,stimulus_discrimination_axis,high_gamma,70,150,0.69977852086569,86,2115,43,43
Fig4C,Monkey_C,MT,Monkey_C_S03,post,leading_null_dimension,low_gamma,30,70,0.333574500137721,86,2115,43,43
Fig4C,Monkey_C,MT,Monkey_C_S03,post,leading_null_dimension,high_gamma,70,150,0.0895365810678775,86,2115,43,43
Fig4B,Monkey_A,V4,Monkey_A_S01,pre,stimulus_discrimination_axis,low_gamma,30,70,0.246098107131474,34,2115,17,17
Fig4B,Monkey_A,V4,Monkey_A_S01,pre,stimulus_discrimination_axis,high_gamma,70,150,0.60045905687603,34,2115,17,17
Fig4C,Monkey_A,V4,Monkey_A_S01,pre,leading_null_dimension,low_gamma,30,70,0.660405174206321,34,2115,17,17
Fig4C,Monkey_A,V4,Monkey_A_S01,pre,leading_null_dimension,high_gamma,70,150,0.128592169522472,34,2115,17,17
Fig4B,Monkey_A,V4,Monkey_A_S01,post,stimulus_discrimination_axis,low_gamma,30,70,0.205893279443225,60,2115,30,30
Fig4B,Monkey_A,V4,Monkey_A_S01,post,stimulus_discrimination_axis,high_gamma,70,150,0.633544508227081,60,2115,30,30
Fig4C,Monkey_A,V4,Monkey_A_S01,post,leading_null_dimension,low_gamma,30,70,0.644969454609479,60,2115,30,30
Fig4C,Monkey_A,V4,Monkey_A_S01,post,leading_null_dimension,high_gamma,70,150,0.219822929880035,60,2115,30,30
Fig4B,Monkey_A,V4,Monkey_A_S02,pre,stimulus_discrimination_axis,low_gamma,30,70,0.227701123318363,32,2115,16,16
Fig4B,Monkey_A,V4,Monkey_A_S02,pre,stimulus_discrimination_axis,high_gamma,70,150,0.588214341960751,32,2115,16,16
Fig4C,Monkey_A,V4,Monkey_A_S02,pre,leading_null_dimension,low_gamma,30,70,0.415232196801431,32,2115,16,16
Fig4C,Monkey_A,V4,Monkey_A_S02,pre,leading_null_dimension,high_gamma,70,150,0.428071888554604,32,2115,16,16
Fig4B,Monkey_A,V4,Monkey_A_S02,post,stimulus_discrimination_axis,low_gamma,30,70,0.18112422434971,18,2115,9,9
Fig4B,Monkey_A,V4,Monkey_A_S02,post,stimulus_discrimination_axis,high_gamma,70,150,0.673128616691902,18,2115,9,9
Fig4C,Monkey_A,V4,Monkey_A_S02,post,leading_null_dimension,low_gamma,30,70,0.490093539433462,18,2115,9,9
Fig4C,Monkey_A,V4,Monkey_A_S02,post,leading_null_dimension,high_gamma,70,150,0.266763534671128,18,2115,9,9
Fig4B,Monkey_A,V4,Monkey_A_S03,pre,stimulus_discrimination_axis,low_gamma,30,70,0.243957266538951,134,2115,67,67
Fig4B,Monkey_A,V4,Monkey_A_S03,pre,stimulus_discrimination_axis,high_gamma,70,150,0.59595274636672,134,2115,67,67
Fig4C,Monkey_A,V4,Monkey_A_S03,pre,leading_null_dimension,low_gamma,30,70,0.403040199871557,134,2115,67,67
Fig4C,Monkey_A,V4,Monkey_A_S03,pre,leading_null_dimension,high_gamma,70,150,0.410901039352105,134,2115,67,67
Fig4B,Monkey_A,V4,Monkey_A_S03,post,stimulus_discrimination_axis,low_gamma,30,70,0.226490420370458,82,2115,41,41
Fig4B,Monkey_A,V4,Monkey_A_S03,post,stimulus_discrimination_axis,high_gamma,70,150,0.645749271419077,82,2115,41,41
Fig4C,Monkey_A,V4,Monkey_A_S03,post,leading_null_dimension,low_gamma,30,70,0.515233328651698,82,2115,41,41
Fig4C,Monkey_A,V4,Monkey_A_S03,post,leading_null_dimension,high_gamma,70,150,0.167465466437218,82,2115,41,41
Fig4B,Monkey_L,V4,Monkey_L_S01,pre,stimulus_discrimination_axis,low_gamma,30,70,0.241791357032893,92,2115,46,46
Fig4B,Monkey_L,V4,Monkey_L_S01,pre,stimulus_discrimination_axis,high_gamma,70,150,0.659358880464095,92,2115,46,46
Fig4C,Monkey_L,V4,Monkey_L_S01,pre,leading_null_dimension,low_gamma,30,70,0.472509779713448,92,2115,46,46
Fig4C,Monkey_L,V4,Monkey_L_S01,pre,leading_null_dimension,high_gamma,70,150,0.417334864694134,92,2115,46,46
Fig4B,Monkey_L,V4,Monkey_L_S01,post,stimulus_discrimination_axis,low_gamma,30,70,0.288324540501285,20,2115,10,10
Fig4B,Monkey_L,V4,Monkey_L_S01,post,stimulus_discrimination_axis,high_gamma,70,150,0.492926417984483,20,2115,10,10
Fig4C,Monkey_L,V4,Monkey_L_S01,post,leading_null_dimension,low_gamma,30,70,0.233238664200833,20,2115,10,10
Fig4C,Monkey_L,V4,Monkey_L_S01,post,leading_null_dimension,high_gamma,70,150,0.536187096151039,20,2115,10,10
