figure_panel,old_figure_panel,monkey_id,area,condition,previous_trial_outcome,frequency_band,epoch_start_ms,epoch_end_ms,frequency_min_hz,frequency_max_hz,selected_matrix_rows_zero_based,selected_matrix_columns_zero_based,n_individual_time_frequency_values,mean_cp,sem_cp,std_cp
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0-10,4-28,275,0.511023008913884,0.0010928703322264641,0.018123204182531164
Fig4D,Fig5A,Monkey_Y,MT,pre,non_rewarded,alpha_beta,-300,0,5,30,0-10,4-28,275,0.531305090021159,0.0022794984794422264,0.03780120583247764
Fig4D,Fig5A,Monkey_Y,MT,post,rewarded,alpha_beta,-300,0,5,30,0-10,4-28,275,0.5148224915182446,0.0009648165701359268,0.015999672773292423
Fig4D,Fig5A,Monkey_Y,MT,post,non_rewarded,alpha_beta,-300,0,5,30,0-10,4-28,275,0.5344375338016548,0.001296746522905551,0.021504108323378585
Fig4E,Fig5B,Monkey_C,MT,pre,rewarded,alpha_beta,-300,0,5,30,0-10,4-28,275,0.4859787543385948,0.0007065370434003677,0.011716591367230345
Fig4E,Fig5B,Monkey_C,MT,pre,non_rewarded,alpha_beta,-300,0,5,30,0-10,4-28,275,0.5159327099913273,0.001319219084986803,0.02187677360588599
Fig4E,Fig5B,Monkey_C,MT,post,rewarded,alpha_beta,-300,0,5,30,0-10,4-28,275,0.48374933813016635,0.0006473758430460728,0.010735513848619158
Fig4E,Fig5B,Monkey_C,MT,post,non_rewarded,alpha_beta,-300,0,5,30,0-10,4-28,275,0.5318361131198347,0.0014055579044197186,0.023308540950392122
Fig4F,Fig5C,Monkey_L,V4,pre,rewarded,alpha_beta,-300,0,5,30,0-7,4-28,200,0.4851357781668938,0.001878331921869757,0.026563624785465312
Fig4F,Fig5C,Monkey_L,V4,pre,non_rewarded,alpha_beta,-300,0,5,30,0-7,4-28,200,0.5109058769513315,0.004064021461258387,0.057473942682869344
Fig4F,Fig5C,Monkey_L,V4,post,rewarded,alpha_beta,-300,0,5,30,0-7,4-28,200,0.4881160385028195,0.002286526358692811,0.032336365871869416
Fig4F,Fig5C,Monkey_L,V4,post,non_rewarded,alpha_beta,-300,0,5,30,0-7,4-28,200,0.5326649999999999,0.0042420144420289175,0.05999114355699833
Fig4G,Fig5D,Monkey_A,V4,pre,rewarded,alpha_beta,-300,0,5,30,0-7,4-28,200,0.47795104909862746,0.0015662588269285667,0.022150244752289532
Fig4G,Fig5D,Monkey_A,V4,pre,non_rewarded,alpha_beta,-300,0,5,30,0-7,4-28,200,0.4395825199331276,0.004726177724642791,0.0668382463637545
Fig4G,Fig5D,Monkey_A,V4,post,rewarded,alpha_beta,-300,0,5,30,0-7,4-28,200,0.47136407207414216,0.0024133099619000078,0.03412935678329088
Fig4G,Fig5D,Monkey_A,V4,post,non_rewarded,alpha_beta,-300,0,5,30,0-7,4-28,200,0.520909375,0.003995930535533072,0.056510991576516546
