figure_panel,old_figure_panel,monkey_id,area,condition,previous_trial_outcome,frequency_band,epoch_start_ms,epoch_end_ms,frequency_min_hz,frequency_max_hz,matrix_row_zero_based,matrix_column_zero_based,matrix_row_one_based,matrix_column_one_based,cp
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,4,1,5,0.502397283888305
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,5,1,6,0.501105912210716
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,6,1,7,0.496138136905586
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,7,1,8,0.493262038985857
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,8,1,9,0.491883274490182
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,9,1,10,0.491277735267605
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,10,1,11,0.491568003266843
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,11,1,12,0.493779342343163
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,12,1,13,0.494980800339726
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,13,1,14,0.495448696831107
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,14,1,15,0.497916784884489
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,15,1,16,0.498878303623724
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,16,1,17,0.494586126758918
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,17,1,18,0.485306102352863
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,18,1,19,0.475263069833022
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,19,1,20,0.472487945876374
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,20,1,21,0.477939233599319
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,0,21,1,22,0.481378784533996
