figure_panel,frequency_band,monkey_id,area,epoch,epoch_start_ms,epoch_end_ms,condition,mean_cp,sem_cp,source_file,notes
FigS1,high_gamma,Monkey_Y,MT,stimulus,50,250,pre,0.511497136773621,0.006628238653104189,highgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS1,high_gamma,Monkey_Y,MT,stimulus,50,250,post,0.5024462678044308,0.005951762640402709,highgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS1,high_gamma,Monkey_C,MT,stimulus,50,250,pre,0.5071176335706596,0.00277634771493452,highgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS1,high_gamma,Monkey_C,MT,stimulus,50,250,post,0.49587347564002215,0.0054654848285905,highgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS1,high_gamma,Monkey_L,V4,stimulus,50,250,pre,0.5228940909797676,0.013870690869989183,highgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS1,high_gamma,Monkey_L,V4,stimulus,50,250,post,0.5010261860888443,0.01059635801842418,highgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS1,high_gamma,Monkey_A,V4,stimulus,50,250,pre,0.5418255053559176,0.01902846113829278,highgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS1,high_gamma,Monkey_A,V4,stimulus,50,250,post,0.504467366425252,0.0037248061089693004,highgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS2,low_gamma,Monkey_Y,MT,stimulus,50,250,pre,0.5318278935779198,0.00879224590713638,lowgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS2,low_gamma,Monkey_Y,MT,stimulus,50,250,post,0.5346777700511516,0.016026643165423203,lowgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS2,low_gamma,Monkey_C,MT,stimulus,50,250,pre,0.5021083051537562,0.0034644949095608,lowgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS2,low_gamma,Monkey_C,MT,stimulus,50,250,post,0.500988790375849,0.01203416514782384,lowgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS2,low_gamma,Monkey_L,V4,stimulus,50,250,pre,0.5057432277990146,0.015073891493883683,lowgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS2,low_gamma,Monkey_L,V4,stimulus,50,250,post,0.5093839400908879,0.015506396414359701,lowgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS2,low_gamma,Monkey_A,V4,stimulus,50,250,pre,0.5651815721974838,0.04000982346647277,lowgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS2,low_gamma,Monkey_A,V4,stimulus,50,250,post,0.538401710200823,0.007999594470328381,lowgamma_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS3,alpha_beta,Monkey_Y,MT,stimulus,50,250,pre,0.5211334302036538,0.018339604893145962,alphabeta_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS3,alpha_beta,Monkey_Y,MT,stimulus,50,250,post,0.4926550666145494,0.010509428796619431,alphabeta_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS3,alpha_beta,Monkey_C,MT,stimulus,50,250,pre,0.4942351786859634,0.0034620213035945397,alphabeta_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS3,alpha_beta,Monkey_C,MT,stimulus,50,250,post,0.49164417182294057,0.00750462222852701,alphabeta_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS3,alpha_beta,Monkey_L,V4,stimulus,50,250,pre,0.5063090295105536,0.025192046896436057,alphabeta_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS3,alpha_beta,Monkey_L,V4,stimulus,50,250,post,0.4912157990473792,0.020738064523974472,alphabeta_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS3,alpha_beta,Monkey_A,V4,stimulus,50,250,pre,0.5431175763836715,0.03420141017614152,alphabeta_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
FigS3,alpha_beta,Monkey_A,V4,stimulus,50,250,post,0.5317873113405523,0.01466192015569665,alphabeta_mkywise.csv,Values used to verify Supplementary Figure 1-3 caption mean ± SEM summaries.
