figure_panel,frequency_band,monkey_id,area,time_ms,condition,mean_cp,sem_cp,source_file,notes
FigS1,high_gamma,Monkey_L,V4,10.0,pre,0.4978273992018964,0.0171038671108182,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,10.0,post,0.4881008836489133,0.0282575960798936,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,30.0,pre,0.5064064597969454,0.0164632972816539,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,30.0,post,0.4943900633980472,0.0239903082069933,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,50.0,pre,0.5100236866254836,0.0240339528539595,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,50.0,post,0.4952145017554762,0.0176330686849286,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,70.0,pre,0.5158692562777474,0.0272275475528326,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,70.0,post,0.4888865771245972,0.0114839206741778,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,90.0,pre,0.5345951790675318,0.0150359163265912,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,90.0,post,0.4880237704974173,0.0056642640796047,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,110.0,pre,0.5426408562195895,0.0039505824054711,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,110.0,post,0.4879709662904408,0.0086648535832298,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,130.0,pre,0.5343760358519489,0.011318897036273,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,130.0,post,0.4887464709229749,0.0105192115587994,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,150.0,pre,0.5255332939188899,0.0146918305087213,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,150.0,post,0.4983321556324486,0.0139485705381343,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,170.0,pre,0.5261168162439694,0.0120456586721341,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,170.0,post,0.5090500435336308,0.0139640756015343,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,190.0,pre,0.5233970194498277,0.0077087403582331,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,190.0,post,0.5178736593808547,0.0089359755042116,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,210.0,pre,0.5192161912235669,0.0053927144648531,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,210.0,post,0.5143497817149313,0.006218672257018,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,230.0,pre,0.5131963571142938,0.0066433845030574,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,230.0,post,0.5100181920452429,0.0083068656322884,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,250.0,pre,0.5068703087845942,0.0245283748877546,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,250.0,post,0.5128219280792733,0.0112204600887391,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,270.0,pre,0.5116623846022841,0.0298114282731409,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,270.0,post,0.5134281431144364,0.0108453136466386,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,290.0,pre,0.5213260835347814,0.0290731958369906,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,290.0,post,0.5083990981659147,0.0091196485192807,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,310.0,pre,0.5320567260927589,0.02722565381806,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,310.0,post,0.5027936653227348,0.0124544395952683,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,330.0,pre,0.5338034774051778,0.0237142606033253,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,330.0,post,0.5006386042842094,0.0168688182832587,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,350.0,pre,0.5363334611014182,0.0215167557128622,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,350.0,post,0.5026086852308528,0.0184366863693537,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,370.0,pre,0.5386096010223165,0.019544501084682,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,370.0,post,0.5101129094593208,0.0146211104754245,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,390.0,pre,0.5294887595655595,0.0126520314412681,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_L,V4,390.0,post,0.5139101680414307,0.0122560630771334,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,10.0,pre,0.4616520932719657,0.0370670661716948,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,10.0,post,0.5329152818336432,0.0079613522943478,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,30.0,pre,0.4744655318428185,0.0279978827913279,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,30.0,post,0.5309631414627473,0.0041414101983433,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,50.0,pre,0.5197229627203296,0.0158478367376648,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,50.0,post,0.5374697138414906,0.0022869258917274,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,70.0,pre,0.5538297974198751,0.0401336172142712,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,70.0,post,0.5418588316938877,0.0022584877064529,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,90.0,pre,0.559792922993796,0.0304094821552554,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,90.0,post,0.5245157692881945,0.0047541749347933,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_A,V4,110.0,pre,0.55198023611951,0.0215580430132813,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
