figure_panel,monkey_id,area,session_id,condition,frequency_band,decoder_type,n_trials,n_label0,n_label1,n_features,accuracy,accuracy_sem_across_cv_repeats,auc,auc_sem_across_cv_repeats,mean_best_lambda,median_best_lambda
FigS5A,Monkey_Y,MT,Monkey_Y_S01,pre,high_gamma,stimulus_identity_logistic_regression,64,32,32,15,0.5421875,0.0086403491378348,0.560546875,0.0120542453289603,2.39708676689246,0.01
FigS5A,Monkey_Y,MT,Monkey_Y_S01,post,high_gamma,stimulus_identity_logistic_regression,64,32,32,15,0.5046875,0.0121613247931171,0.50400390625,0.0160944866466007,3.59353404270911,0.0658113883008419
FigS5A,Monkey_Y,MT,Monkey_Y_S02,pre,high_gamma,stimulus_identity_logistic_regression,30,12,18,15,0.693333333333333,0.0114962490704603,0.725694444444444,0.0193025869417883,0.110391002868201,0.0316227766016838
FigS5A,Monkey_Y,MT,Monkey_Y_S02,post,high_gamma,stimulus_identity_logistic_regression,30,15,15,15,0.66,0.0109757840839418,0.650888888888889,0.0126428420653973,2.69891212789826,0.316227766016838
FigS5A,Monkey_Y,MT,Monkey_Y_S03,pre,high_gamma,stimulus_identity_logistic_regression,78,43,35,15,0.519230769230769,0.0090415835765697,0.520332225913621,0.0098905871433685,1.32217473964924,0.1
FigS5A,Monkey_Y,MT,Monkey_Y_S03,post,high_gamma,stimulus_identity_logistic_regression,78,39,39,15,0.51025641025641,0.0101291019265072,0.516765285996055,0.009350013235791,0.960282500936576,0.01
FigS5A,Monkey_Y,MT,Monkey_Y_S04,pre,high_gamma,stimulus_identity_logistic_regression,98,47,51,15,0.566326530612245,0.009407698425809,0.535565289945765,0.0090471008372949,2.05322290725857,1.0
FigS5A,Monkey_Y,MT,Monkey_Y_S04,post,high_gamma,stimulus_identity_logistic_regression,98,49,49,15,0.431122448979592,0.0105181265959634,0.419679300291545,0.0114619983709288,9.95548329554267,1.0
FigS5A,Monkey_C,MT,Monkey_C_S01,pre,high_gamma,stimulus_identity_logistic_regression,108,54,54,15,0.560185185185185,0.0098839011740606,0.587534293552812,0.0098694047572415,0.535164025360698,0.0316227766016838
FigS5A,Monkey_C,MT,Monkey_C_S01,post,high_gamma,stimulus_identity_logistic_regression,108,54,54,15,0.544444444444445,0.0081609858110835,0.572119341563786,0.009439996494651,3.43065565592307,0.01
FigS5A,Monkey_C,MT,Monkey_C_S02,pre,high_gamma,stimulus_identity_logistic_regression,76,39,37,15,0.456578947368421,0.0076425558653202,0.416770616770617,0.0105467760381233,7.52557637882166,3.16227766016838
FigS5A,Monkey_C,MT,Monkey_C_S02,post,high_gamma,stimulus_identity_logistic_regression,76,38,38,15,0.504605263157895,0.0091198044902732,0.518940443213296,0.0108275812387911,2.677849861011,0.0031622776601683
FigS5A,Monkey_C,MT,Monkey_C_S03,pre,high_gamma,stimulus_identity_logistic_regression,102,51,51,14,0.622549019607843,0.0078399116173997,0.667031910803537,0.0055733814852603,0.722330530701499,0.0208113883008419
FigS5A,Monkey_C,MT,Monkey_C_S03,post,high_gamma,stimulus_identity_logistic_regression,102,51,51,14,0.480392156862745,0.0088550063476421,0.47443291041907,0.0096874731371179,7.05746978544425,0.316227766016838
FigS5B,Monkey_A,V4,Monkey_A_S01,pre,high_gamma,stimulus_identity_logistic_regression,34,17,17,15,0.65,0.0104314152252826,0.680276816608997,0.0134187133918218,1.50035291374324,1.0
FigS5B,Monkey_A,V4,Monkey_A_S01,post,high_gamma,stimulus_identity_logistic_regression,34,21,13,15,0.577941176470588,0.0107272861264139,0.315384615384615,0.01396322997269,1.39604175043449,1.0
FigS5B,Monkey_A,V4,Monkey_A_S02,pre,high_gamma,stimulus_identity_logistic_regression,18,10,8,15,0.530555555555556,0.0130445082039148,0.50125,0.0177912789102739,4.26280831735154,1.0
FigS5B,Monkey_A,V4,Monkey_A_S02,post,high_gamma,stimulus_identity_logistic_regression,18,9,9,15,0.741666666666666,0.0092568222913899,0.798148148148148,0.0141409160205446,0.0874606953883233,0.0001
FigS5B,Monkey_A,V4,Monkey_A_S03,pre,high_gamma,stimulus_identity_logistic_regression,82,43,39,15,0.716463414634146,0.0060573126085291,0.775521765056649,0.0057259912595353,0.525825499601436,0.316227766016838
FigS5B,Monkey_A,V4,Monkey_A_S03,post,high_gamma,stimulus_identity_logistic_regression,82,41,41,15,0.621341463414634,0.0090430625962812,0.66249256395003,0.0099767669663367,1.46140007510234,0.316227766016838
FigS5B,Monkey_L,V4,Monkey_L_S01,pre,high_gamma,stimulus_identity_logistic_regression,20,10,10,15,0.49,0.0210262993215139,0.508,0.0233125220474003,1.67988670722293,0.01
FigS5B,Monkey_L,V4,Monkey_L_S01,post,high_gamma,stimulus_identity_logistic_regression,20,10,10,15,0.7025,0.0111656192229351,0.7495,0.0123218889529334,3.52716133986919,0.0316227766016838
FigS5B,Monkey_L,V4,Monkey_L_S02,pre,high_gamma,stimulus_identity_logistic_regression,42,21,21,15,0.827380952380953,0.0045290827991231,0.873469387755102,0.0082279860020129,0.217510927935663,0.0316227766016838
FigS5B,Monkey_L,V4,Monkey_L_S02,post,high_gamma,stimulus_identity_logistic_regression,42,21,21,15,0.475,0.0123928755004571,0.464512471655329,0.0131967857286527,2.51680267898466,1.0
FigS5B,Monkey_L,V4,Monkey_L_S03,pre,high_gamma,stimulus_identity_logistic_regression,66,34,32,15,0.543939393939394,0.0094493401611656,0.539935661764706,0.0095385859368649,1.62716999677841,0.1
FigS5B,Monkey_L,V4,Monkey_L_S03,post,high_gamma,stimulus_identity_logistic_regression,66,33,33,15,0.578030303030303,0.0094732848067714,0.622727272727273,0.0083119250501962,0.338901598300898,0.0316227766016838
