figure_panel,unit_id,stimulus_id,condition,mean_firing_rate_hz
FigS8,saline_unit_01,image_001,pre_saline,16.1382452258098
FigS8,saline_unit_01,image_001,post_saline,11.8090789803652
FigS8,saline_unit_01,image_002,pre_saline,3.05000993169214
FigS8,saline_unit_01,image_002,post_saline,16.2257456470319
FigS8,saline_unit_01,image_004,pre_saline,15.5500099316921
FigS8,saline_unit_01,image_004,post_saline,12.3715789803652
FigS8,saline_unit_01,image_006,pre_saline,12.0500099316921
FigS8,saline_unit_01,image_006,post_saline,10.2257456470319
FigS8,saline_unit_01,image_007,pre_saline,1.18075929907708
FigS8,saline_unit_01,image_007,post_saline,5.27336469465095
FigS8,saline_unit_01,image_008,pre_saline,6.67904218975666
FigS8,saline_unit_01,image_008,post_saline,6.78130120258746
FigS8,saline_unit_01,image_009,pre_saline,3.84269285852141
FigS8,saline_unit_01,image_009,post_saline,5.98765040893667
FigS8,saline_unit_01,image_010,pre_saline,9.68794096617491
FigS8,saline_unit_01,image_010,post_saline,11.4011842435231
FigS8,saline_unit_01,image_011,pre_saline,15.5500099316921
FigS8,saline_unit_01,image_011,post_saline,5.58849074507112
FigS8,saline_unit_01,image_012,pre_saline,8.55000993169214
FigS8,saline_unit_01,image_012,post_saline,3.40523282651908
FigS8,saline_unit_01,image_013,pre_saline,6.04089915921695
FigS8,saline_unit_01,image_013,post_saline,5.00352342480968
FigS8,saline_unit_01,image_014,pre_saline,3.05000993169214
FigS8,saline_unit_01,image_014,post_saline,6.35395077523703
