CP,epoch,condition,monkey,area,band
0.4749796898840342,baseline,pre,LAV,V4,alpha_beta
0.486201185642029,baseline,post,LAV,V4,alpha_beta
0.5063090295105536,stimulus,pre,LAV,V4,alpha_beta
0.4912157990473792,stimulus,post,LAV,V4,alpha_beta
0.4595275420717104,delay,pre,LAV,V4,alpha_beta
0.49095822966868924,delay,post,LAV,V4,alpha_beta
0.49906052112029387,baseline,pre,ARY,V4,alpha_beta
0.4344338818781847,baseline,post,ARY,V4,alpha_beta
0.5431175763836715,stimulus,pre,ARY,V4,alpha_beta
0.5317873113405523,stimulus,post,ARY,V4,alpha_beta
0.5070963395316805,delay,pre,ARY,V4,alpha_beta
0.49838759686741213,delay,post,ARY,V4,alpha_beta
0.47819786039397505,baseline,pre,CLU,MT,alpha_beta
0.5023520114313587,baseline,post,CLU,MT,alpha_beta
0.4942351786859634,stimulus,pre,CLU,MT,alpha_beta
0.49164417182294057,stimulus,post,CLU,MT,alpha_beta
0.49653462517268365,delay,pre,CLU,MT,alpha_beta
0.49311702262798984,delay,post,CLU,MT,alpha_beta
0.5110929048822204,baseline,pre,YTU,MT,alpha_beta
0.5069724106555874,baseline,post,YTU,MT,alpha_beta
0.5211334302036538,stimulus,pre,YTU,MT,alpha_beta
0.4926550666145494,stimulus,post,YTU,MT,alpha_beta
0.5236572797962171,delay,pre,YTU,MT,alpha_beta
0.49653454483652026,delay,post,YTU,MT,alpha_beta
