CP,epoch,condition,monkey,area,band
0.4825740842222388,baseline,pre,LAV,V4,high_gamma
0.473830949849116,baseline,post,LAV,V4,high_gamma
0.5228940909797676,stimulus,pre,LAV,V4,high_gamma
0.5010261860888444,stimulus,post,LAV,V4,high_gamma
0.5262688502636113,delay,pre,LAV,V4,high_gamma
0.5080891502122716,delay,post,LAV,V4,high_gamma
0.49372274889975143,baseline,pre,ARY,V4,high_gamma
0.5030887963442576,baseline,post,ARY,V4,high_gamma
0.5418255053559176,stimulus,pre,ARY,V4,high_gamma
0.5044673664252521,stimulus,post,ARY,V4,high_gamma
0.5007162257098423,delay,pre,ARY,V4,high_gamma
0.50744882915819,delay,post,ARY,V4,high_gamma
0.5004620678846969,baseline,pre,CLU,MT,high_gamma
0.5007838274540884,baseline,post,CLU,MT,high_gamma
0.5071176335706596,stimulus,pre,CLU,MT,high_gamma
0.49587347564002215,stimulus,post,CLU,MT,high_gamma
0.4977193648729846,delay,pre,CLU,MT,high_gamma
0.5015964509521587,delay,post,CLU,MT,high_gamma
0.5041832954358688,baseline,pre,YTU,MT,high_gamma
0.503100228985693,baseline,post,YTU,MT,high_gamma
0.511497136773621,stimulus,pre,YTU,MT,high_gamma
0.5024462678044308,stimulus,post,YTU,MT,high_gamma
0.4910687930170549,delay,pre,YTU,MT,high_gamma
0.49779790665788265,delay,post,YTU,MT,high_gamma
